Final_Name,Alt_Name,Inst_final,z,z_src,CIV_blue_tvm,CIV_EW_tvm,_RA,_DE,Sul_Name,SDSS_NAME,PLATE,MJD,FIBERID,F1450_spec (erg/s/cm2/A),S2N_1450A,CIVgood_manmask,F1550_sul07,c1_2_sul07,log M_BH,+err(log M_BH),-err(log M_BH),MBH_source,MBH_source_qual,logEddRatio,EddRatio_Source,EddRatio_Source_qual,LBol,LBol Source,LBol_Source_qual,logLEdd,logLEdd_Source,logLEdd_Source_qual,F2500 (ergs/s/cm2/A),F2500_change,logLbol_2500 (erg/s),logLedd (erg/s),logEddRatio_2500,CIV_Distance,Spec_Name
PG 0454-22,1ES 0454-22.0,FOS,0.5346,Sul,-286.141157033345,63.6905449265151,74.0371966666667,-21.9859841666667,J04561-2159,,,,,4.464002548448E-15,44.0059294194799,1,1.99,110.0,8.73,0.43,0.43,Kelly&Bechtold2007,2.0,,,,,,,,,,2.57276640964001E-15,2.57276640964001E-15,46.3109250890675,46.8303705451176,-0.519445456050022,0.413934949331343,J04561-2159
PG 0637-752,1ES 0637-75.2,FOS,0.651,Sul,-562.833983013642,40.9823765541864,98.94381,-75.2713166666667,J06357-7516,,,,,3.0907610868966E-15,8.25669342589387,1,2.42,534.0,9.15,,,BASS-DR2 (Koss+2022),2.0,0.06,BASS-DR2 (Koss+2022),,47.38,BASS-DR2 (Koss+2022),,,,,1.8071429359288E-15,1.8071429359288E-15,46.3642364243166,47.2503705451176,-0.886134120800925,0.47239901494075,J06357-7516
PG 0804+761,2E 1919,HSLA,0.1,NED,197.485608074964,17.4024392523484,122.744,76.0449,,,,,,6.45959981453977E-14,68.7587846767776,1,,,8.735,0.048,0.053,Bentz & Katz 2015,1.0,-1.51,BASS-DR2 (Koss+2022),,45.4,BASS-DR2 (Koss+2022),,,,,3.72458835219929E-14,3.72458835219929E-14,45.8297141927516,46.8353705451176,-1.00565635236601,0.655511737791298,PG0804+761
PG 0838+770,VII Zw 244,HSLA,0.132302,NED,542.446498180031,28.3701343243499,131.189,76.886,,,,,,6.45520775118399E-15,25.468076101779,1,,,8.154,,,Vestergaard&Peterson2006,2.0,,,,,,,,,,3.81167962525729E-15,3.81167962525729E-15,45.1108211356301,46.2543705451176,-1.14354940948744,0.606753633880899,VIIZW244
PGÂ 0923+20,Ton 1057,HSLA,0.1922,DR16,-632.050752510519,15.9916466200648,141.478,19.9014,,092554.71+195405.1,9561.0,57809.0,212.0,1.3089446904619E-14,14.1636326464741,1,,,8.94,,,Woo&Urry2002,2.0,,,,,,,,,,7.70781504118521E-15,7.70781504118521E-15,45.7643348683049,47.0403705451176,-1.27603567681266,0.583239483551034,QSO-B0923+201
PG 0947+396,SDSS J095048.38+392650.5,FOS,0.2067,Sul,266.508764230596,48.5404846553031,147.701604166667,39.4473733333333,J09508+3926,095048.38+392650.4,1277.0,52765.0,332.0,8.32897291882564E-15,21.3584017229706,1,1.61,-606.0,8.53,0.43,0.43,Kelly&Bechtold2007,2.0,,,,,,,,,,4.73437078512478E-15,4.73437078512478E-15,45.6250494958214,46.6303705451176,-1.00532104929616,0.489758459022985,PG0947+396
PG 0953+414,SDSS J095652.39+411522.2,FOS,0.2347,Sul,197.485608074964,53.6025432936562,149.218298333333,41.2561597222222,J09568+4115,,,,,1.3218250044419E-14,12.811259292097,1,2.39,-286.0,8.333343862,0.08236218063,0.107522097,Bentz & Katz 2015,1.0,-0.9691201173,Spectra 1450A,,,,,,,,6.92938271670945E-15,6.92938271670945E-15,45.9108468564457,46.4337144071176,-0.52286755067184,0.462658603775371,PG0953+414
PG 1001+054,SDSS J100420.13+051300.4,FOS,0.1611,Sul,1093.54751271396,37.072132483073,151.0839225,5.21680388888889,J10043+0513,100420.13+051300.4,995.0,52731.0,4.0,3.53476012807788E-15,10.5266392851443,1,0.6,-930.0,7.6,0.43,0.43,Kelly&Bechtold2007,2.0,,,,,,,,,,2.3764971505497E-15,2.3764971505497E-15,45.0926554959101,45.7003705451176,-0.607715049207506,0.618497380969359,PG1001+054
PG 1001+291,Ton 28,FOS,0.3298,Sul,1368.73015463254,14.6456574994182,151.010903055556,28.9265002777778,J10040+2855,100402.60+285535.3,10449.0,58137.0,658.0,1.0605199595631E-14,12.5698712882781,1,2.07,-1319.0,7.570177621,0.3746660759,0.1308438961,Bentz & Katz 2015,1.0,0.03472450561,Spectra 1450A,,,,,,,,5.45478709680865E-15,5.45478709680865E-15,46.1426133805027,45.6705481661176,0.472065214385161,0.796077581994777,PG1001+291
PG 1011-040,HE 1011-0403,HSLA,0.058314,NED,197.485608074964,10.7251978887471,153.586,-4.31124,,,,,,1.43875526278911E-14,46.1957756003282,1,,,7.317,0.079,0.097,Vestergaard&Peterson2006,2.0,-0.41,Laha+18,,1.08E45,Vasudevan+07,"SXW, Laor&Brandt02 have CIV EW <; IUE or HST?",,,,7.97038651316224E-15,7.97038651316224E-15,44.6818819552016,45.4173705451176,-0.735488589915931,0.740036753018542,PG1011-040
PG 1049-005,FBS 1049-005,FOS,0.3591,Sul,335.512559052064,49.6272596210069,162.964335,-0.854926111111111,J10518-0051,105151.44-005117.6,276.0,51909.0,251.0,4.6995217878318E-15,9.10893402910225,1,1.44,-453.0,9.18,0.085,0.106,Vestergaard&Peterson2006,2.0,,,,,,,,,,2.80661499826374E-15,2.80661499826374E-15,45.9429000864767,47.2803705451176,-1.33747045864089,0.490788937579371,PG1049-005
PG 1114+445,FBS 1114+444,FOS,0.1433,Sul,-493.636574850928,58.7872458334918,169.276635555556,44.2259125,J11171+4413,111706.39+441333.3,1365.0,53062.0,378.0,2.9306693955291E-15,12.8279580096779,1,0.56,351.0,8.591,0.081,0.099,Vestergaard&Peterson2006,2.0,,,,,,,,,,2.91766643387441E-15,2.91766643387441E-15,45.07070774173,46.6913705451176,-1.6206628033876,0.429155920733884,PG1114+445
PG 1115+407,FBS 1115+407,FOS,0.1536,Sul,680.318558484126,21.170377911521,169.626248888889,40.4317002777778,J11185+4025,111830.28+402554.0,1440.0,53084.0,204.0,8.58358809481274E-15,9.68749962615479,1,1.49,-383.0,7.82,0.43,0.43,Kelly&Bechtold2007,2.0,,,,,,,,,,4.56322849766189E-15,4.56322849766189E-15,45.3274329593283,45.9203705451176,-0.592937585789287,0.67188521296671,PG1115+407
PG 1116+215,Ton 1388,FOS,0.1765,Sul,1024.71796989958,36.2112086385464,169.786118333333,21.3216558333333,J11191+2119,111908.67+211917.9,6430.0,56299.0,516.0,3.6027229517307E-14,17.5000978454037,1,5.14,-700.0,7.55,0.43,0.43,Kelly&Bechtold2007,2.0,,,,,,,,,,1.61134253007605E-14,1.61134253007605E-14,45.9993201450235,45.6503705451176,0.348949599905922,0.615408876403721,PG1116+215
PG 1121+422,FBS 1121+423,FOS,0.2253,Sul,473.481426026803,41.4954568835452,171.163228055556,42.0291780555556,J11246+4201,112439.18+420145.0,1443.0,53055.0,358.0,8.10917795927497E-15,13.844980833217,1,1.52,-166.0,7.61,0.43,0.43,Kelly&Bechtold2007,2.0,,,,,,,,,,4.27742992691499E-15,4.27742992691499E-15,45.6645213540337,45.7103705451176,-0.0458491910838887,0.537360203843629,PG1121+422
PG 1126-041,Mrk 1298,HSLA,0.06,https://arxiv.org/pdf/1710.10703.pdf,59.3812117613829,31.4824794221284,172.32,-4.40208,,,,,,1.37368994354013E-14,29.7519221414498,1,,,7.99,0.0,0.0,Giustini & Proga 2019; Shang+18 (avg),2.0,-0.602,Giustini & Proga 2019; Laha+18 gives 0.293-0.672,,,,,,,,1.02623733324956E-14,1.02623733324956E-14,44.8156722820949,46.0903705451176,-1.27469826302263,0.544464475326671,PG1126-041
PG 1202+281,1ES 1202+28.1,FOS,0.1654,Sul,887.000800268488,352.137191242212,181.175458333333,27.90325,J12047+2754,120442.10+275411.8,6475.0,56337.0,302.0,1.84887047441449E-15,6.50363650220252,1,0.32,-876.0,8.1,,,BASS-DR2 (Koss+2022),2.0,-0.55,BASS-DR2 (Koss+2022),,45.73,BASS-DR2 (Koss+2022),,,,,1.70673251026285E-15,1.4E-15,44.8907000967451,46.2003705451176,-1.30967044837242,0.0,J12047+2754
PG 1211+143,PB 3894,FOS,0.0811,Sul,128.443090585211,44.7339421449316,183.573614166667,14.0536536111111,J12142+1403,,,,,2.09677770464586E-14,17.1372033871604,1,3.06,-89.0,6.72,0.43,0.43,Kelly&Bechtold2007,2.0,,,,,,,,,,1.38220184769843E-14,1.38220184769843E-14,45.2142611366689,44.8203705451176,0.39389059155129,0.494708322001837,PG1211+143
PG 1216+069,2E 2654,FOS,0.3322,Sul,128.443090585211,54.1111338012884,184.837216666667,6.64402111111111,J12193+0638,,,,,8.60817456649007E-15,14.5474393668987,1,1.79,279.0,8.0,0.43,0.43,Kelly&Bechtold2007,2.0,,,,,,,,,,4.92885534766472E-15,4.92885534766472E-15,46.1063853990955,46.1003705451176,0.00601485397789503,0.456715499174786,PG1216+069
PGÂ 1259+593,SDSSÂ J130112.93+590206.7,FOS,0.4776,Sul,3902.14136355421,7.13804986060372,195.303818888889,59.0351897222222,J13012+5902,130112.91+590206.6,957.0,52398.0,20.0,8.49711944948238E-15,23.4723044210334,1,2.4,-4325.0,7.91,0.43,0.43,Kelly&Bechtold2007,2.0,,,,,,,,,,4.63395619267059E-15,4.63395619267059E-15,46.4470964630513,46.0103705451176,0.436725917933735,1.09850325479831,SBS1259+593
PG 1302-102,PKS 1302-103,FOS,0.2783,Sul,335.512559052064,8.72919239603627,196.3875625,-10.5553963888889,J13055-1033,,,,,1.92658939172541E-14,18.8908971613723,1,3.87,215.0,8.65,,,BASS-DR2 (Koss+2022),2.0,-0.43,BASS-DR2 (Koss+2022),,46.39,BASS-DR2 (Koss+2022),,,,,1.07788733106385E-14,1.117E-14,46.2817938992556,46.7503705451176,-0.468576645861972,0.778339906190199,PG1302-102
PG 1307+085,1ES 1307+08.6,FOS,0.1546,Sul,-355.280481193698,61.9100085582755,197.445841666667,8.33006111111111,J13097+0819,130947.00+081948.2,1795.0,54507.0,457.0,9.83204687734486E-15,5.89616474076281,1,1.4,312.0,8.536858054,0.09373664326,0.1611949733,Bentz & Katz 2015,1.0,-1.69841683,Spectra 1450A,,,,,,,,5.49472959645303E-15,5.49472959645303E-15,45.4131459365323,46.6372285991176,-1.22408266258527,0.42112206491267,PG1307+085
PG 1309+355,Ton 1565,STIS,0.1821,Sul,-355.280481193698,38.122198408793,198.073958333333,35.2558611111111,J13122+3515,131217.75+351521.0,2016.0,53799.0,61.0,5.91794872786626E-15,4.5145468200832,1,1.6,-358.0,7.62,0.43,0.43,Kelly&Bechtold2007,2.0,,,,,,,,,,3.73724388216153E-15,3.73724388216153E-15,45.4026558045374,45.7203705451176,-0.317714740580151,0.489703870796827,J13122+3515
PG 1322+659,FBS 1322+659,FOS,0.1674,Sul,404.496992539456,49.1752993436747,200.9561975,65.6967272222222,J13238+6541,,,,,6.74913945471463E-15,30.1062536972024,1,1.2,-310.0,7.11,0.43,0.43,Kelly&Bechtold2007,2.0,,,,,,,,,,3.98250389370084E-15,3.98250389370084E-15,45.3501317212965,45.2103705451176,0.139761176178929,0.498882847167266,PG1322+659
PG 1351+640,FBS 1351+640,STIS,0.0882,Sul,128.443090585211,75.8804048644543,208.31598,63.7626944444444,J13532+6345,,,,,,,0,2.32,-126.0,8.48,,,Kaspi+2000,1.0,,,,,,,,,,1.14134312718525E-14,1.14134312718525E-14,45.20830696937,46.5803705451176,-1.37206357574757,0.369460649032572,PG1351+640
PG 1352+183,PB 4142,FOS,0.1508,Sul,404.496992539456,30.3311347296,208.648704166667,18.0881888888889,J13545+1805,135435.68+180517.4,2756.0,54508.0,228.0,8.21435053789935E-15,8.36984088894412,1,1.27,-372.0,8.423,0.081,0.099,Vestergaard&Peterson2006,2.0,,,,,,,,,,4.44981943887893E-15,4.44981943887893E-15,45.2993796058899,46.5233705451176,-1.22399093922765,0.582007732638232,PG1352+183
PG 1355-416,2E 3152,FOS,0.3145,Sul,-78.7812685546023,37.5270025958001,209.750789444444,-41.8813255555556,J13590-4152,,,,,8.5032665068507E-15,12.8138101102373,1,3.49,-1069.0,9.73,,,Woo&Urry2002,2.0,,,,,,,,,,4.81160452785247E-15,4.81160452785247E-15,46.0415980889152,47.8303705451176,-1.78877245620239,0.508059386076362,J13590-4152
PG 1402+26,Ton 182,FOS,0.1633,Sul,542.446498180031,16.8469171116998,211.317588055556,25.9261522222222,J14052+2555,,,,,1.77067917900932E-14,9.20799507362585,1,2.89,-719.0,7.35,0.43,0.43,Kelly&Bechtold2007,2.0,,,,,,,,,,8.9790465161788E-15,8.9790465161788E-15,45.675172402397,45.4503705451176,0.224801857279473,0.698452192276972,J14052+2555
PG 1404+226,2E 3189,FOS,0.0973,Sul,2055.57348271678,26.4913915848321,211.591168888889,22.3962813888889,J14063+2223,140621.89+222346.5,2784.0,54529.0,10.0,4.72098391817564E-15,9.07252871881423,0,0.62,-1537.0,6.889,0.08,0.098,Vestergaard&Peterson2006,2.0,,,,,,,,,,2.93287994891222E-15,2.93287994891222E-15,44.7153718761844,44.9893705451176,-0.273998668933196,0.771838100431993,PG1404+226
PG 1411+44,PB 1732,HSLA,0.089,http://quasar.square7.ch/fqm/1411+442.html,-217.001832872948,45.3010500190632,213.451,44.0039,,,,,,1.55765511760289E-14,43.5501208374764,1,,,8.539402218,0.1251788371,0.1688891258,Bentz & Katz 2015,1.0,-1.027349891,Spectra 1450A,,,,,,,,9.57325980066502E-15,9.57325980066502E-15,45.1411583158708,46.6397727631176,-1.49861444724679,0.472827829931869,QSO-B1411+4414
PG 1415+451,1ES 1415+45.1,FOS,0.1151,Sul,1093.54751271396,36.7792607964704,214.253441944444,44.935095,J14170+4456,141700.82+445606.3,1287.0,52728.0,296.0,9.94400589691742E-15,6.02744289740983,1,1.21,-771.0,7.61,0.43,0.43,Kelly&Bechtold2007,2.0,,,,,,,,,,4.93641748759026E-15,4.93641748759026E-15,45.0926838699843,45.7103705451176,-0.617686675133307,0.619811223979875,PG1415+451
PG 1416-129,1ES 1416-12.9,FOS,0.1294,Sul,404.496992539456,314.684949730984,214.765916666667,-13.1790833333333,J14190-1310,,,,,2.35350551713786E-15,2.49065890251412,1,0.57,-143.0,7.56,0.43,0.43,Kelly&Bechtold2007,2.0,,,,,,,,,,1.18236521931031E-15,1.18236521931031E-15,44.5885066246512,45.6603705451176,-1.07186392046641,0.0019952291016789,J14190-1310
PG 1425+267,Ton 202,STIS,0.3634,Sul,197.485608074964,99.4454877284786,216.898334444444,26.5374016666667,J14275+2632,142735.60+263214.5,2135.0,53827.0,340.0,2.80631089101444E-15,5.89201424457181,1,0.78,-563.0,7.85,0.43,0.43,Kelly&Bechtold2010,2.0,,,,,,,,,,1.63820276410082E-15,1.63820276410082E-15,45.7240955737405,45.9503705451176,-0.226274971377087,0.299627630473717,B21425+26
PG 1427+48,2MASS J14294306+4747262,FOS,0.2199,Sul,-355.280481193698,51.6699349787927,217.429455555556,47.7906047222222,J14297+4747,142943.07+474726.2,8434.0,57484.0,311.0,5.63000768695507E-15,25.1574792271759,1,1.07,426.0,7.65,0.43,0.43,Kelly&Bechtold2007,2.0,,,,,,,,,,3.11666871982113E-15,3.11666871982113E-15,45.5054121053191,45.7503705451176,-0.244958439798467,0.449375651413746,J14297+4747
PGÂ 1435-06,1ESÂ 1435-06.7,HSLA,0.126,https://arxiv.org/pdf/1507.06317.pdf,-424.458528022291,16.6430259077602,219.567,-6.97242,,,,,,1.23009852631558E-14,27.5440002934918,1,,,8.365,0.082,0.102,Vestergaard&Peterson2006,2.0,,,,,,,,,,7.68741575857104E-15,7.68741575857104E-15,45.3661803607146,46.4653705451176,-1.09919018440298,0.596738531516942,QSO-B1435-0645
